"Conservation action"	"Response"	"Beta +/- SE"	"95% CI"	"z"	"p"	"failsafe [N]"	"failsafe [p]"
"1"	"Decontamination"	"Pathogen (8, 2)"	"-0.385 +/- 0.088"	"[-0.557 — -0.214]"	-4.398	0	69	"<0.001"
"2"	"Disturbance reduction"	"Behavior (34, 2)"	"0.593 +/- 0.066"	"[0.464 — 0.722]"	9.001	0	1712	"<0.001"
"3"	"Gate"	"Behavior (42, 8)"	"0.321 +/- 0.159"	"[0.009 — 0.633]"	2.018	0.044	7787	"<0.001"
"4"	"Gate"	"Occupancy (12, 4)"	"0.317 +/- 0.27"	"[-0.213 — 0.846]"	1.172	0.241	379	"<0.001"
"5"	"Gate"	"Population (49, 9)"	"0.083 +/- 0.218"	"[-0.344 — 0.509]"	0.379	0.705	Inf	"<0.001"
"6"	"Monitoring"	"Population (5, 3)"	"0.495 +/- 0.356"	"[-0.201 — 1.192]"	1.393	0.164	268	"<0.001"
"7"	"Restoration"	"Population (23, 4)"	"0.79 +/- 0.169"	"[0.459 — 1.122]"	4.673	0	820236606	"<0.001"
